Genre,Accuracy,Loss,F1,Precision,Recall,Hamming,0/1
Ambient,0.803,7.105,0.053,0.033,0.141,,
Classical,0.873,4.563,0.058,0.038,0.117,,
Dance,0.646,12.768,0.081,0.047,0.298,,
Electronic,0.675,11.728,0.186,0.255,0.147,,
Experimental,0.433,20.433,0.059,0.031,0.471,,
Folk,0.334,24.016,0.065,0.034,0.646,,
Hip-Hop,0.559,15.91,0.375,0.335,0.425,,
Industrial & Noise,0.399,21.674,0.086,0.046,0.607,,
Jazz,0.764,8.506,0.014,0.007,0.111,,
Metal,0.672,11.828,0.084,0.051,0.233,,
Pop,0.434,20.393,0.233,0.147,0.57,,
Psychedelia,0.843,5.664,0.102,0.089,0.118,,
Punk,0.747,9.126,0.054,0.032,0.186,,
R&B,0.238,27.478,0.074,0.039,0.714,,
Rock,0.577,15.23,0.272,0.233,0.326,,
Singer-Songwriter,0.517,17.411,0.042,0.022,0.413,,
Aggregated,0.595,14.615,0.134,0.083,0.343,0.405,0.001
