Genre,Accuracy,Loss,F1,Precision,Recall,Hamming,0/1
Ambient,0.928,2.602,0.0,0.0,0.0,,
Classical,0.923,2.762,0.014,0.012,0.017,,
Dance,0.948,1.881,0.0,0.0,0.0,,
Electronic,0.69,11.187,0.193,0.284,0.147,,
Experimental,0.947,1.921,0.02,0.033,0.015,,
Folk,0.916,3.022,0.026,0.022,0.031,,
Hip-Hop,0.56,15.87,0.319,0.307,0.332,,
Industrial & Noise,0.953,1.681,0.0,0.0,0.0,,
Jazz,0.985,0.54,0.0,0.0,0.0,,
Metal,0.881,4.283,0.101,0.098,0.103,,
Pop,0.849,5.444,0.0,0.0,0.0,,
Psychedelia,0.924,2.722,0.0,0.0,0.0,,
Punk,0.961,1.401,0.0,0.0,0.0,,
R&B,0.957,1.541,0.0,0.0,0.0,,
Rock,0.756,8.806,0.013,0.3,0.007,,
Singer-Songwriter,0.964,1.281,0.0,0.0,0.0,,
Aggregated,0.884,4.184,0.14,0.218,0.103,0.116,0.114
