Genre,Accuracy,Loss,F1,Precision,Recall,Balanced Accuracy,Specificity,Geometric Mean,Hamming,0/1
Ambient,0.728,9.786,0.058,0.033,0.211,0.48,0.75,0.398,,
Classical,0.665,12.068,0.062,0.034,0.333,0.505,0.677,0.475,,
Dance,0.478,18.812,0.086,0.047,0.468,0.473,0.479,0.473,,
Electronic,0.45,19.833,0.376,0.264,0.652,0.517,0.381,0.498,,
Experimental,0.382,22.275,0.075,0.04,0.662,0.516,0.371,0.496,,
Folk,0.379,22.395,0.067,0.035,0.615,0.493,0.37,0.477,,
Hip-Hop,0.52,17.311,0.338,0.296,0.395,0.485,0.576,0.477,,
Industrial & Noise,0.538,16.651,0.08,0.044,0.429,0.486,0.543,0.483,,
Jazz,0.295,25.397,0.031,0.016,0.741,0.515,0.289,0.462,,
Metal,0.563,15.75,0.113,0.065,0.431,0.502,0.572,0.497,,
Pop,0.431,20.493,0.256,0.159,0.647,0.52,0.393,0.504,,
Psychedelia,0.448,19.913,0.14,0.079,0.596,0.516,0.435,0.509,,
Punk,0.646,12.768,0.073,0.04,0.357,0.507,0.657,0.485,,
R&B,0.699,10.847,0.078,0.045,0.299,0.508,0.717,0.463,,
Rock,0.499,18.052,0.314,0.235,0.472,0.49,0.508,0.49,,
Singer-Songwriter,0.605,14.249,0.056,0.03,0.457,0.533,0.609,0.527,,
Aggregated,0.52,17.288,0.16,0.096,0.501,0.511,0.522,0.511,0.48,0.0
