Genre,Accuracy,Loss,F1,Precision,Recall,Balanced Accuracy,Specificity,Geometric Mean,Hamming,0/1
Ambient,0.04,34.603,0.076,0.039,1.0,0.5,0.001,0.024,,
Classical,0.967,1.201,0.0,0.0,0.0,0.5,1.0,0.0,,
Dance,0.948,1.881,0.0,0.0,0.0,0.5,1.0,0.0,,
Electronic,0.254,26.898,0.405,0.254,1.0,0.5,0.0,0.0,,
Experimental,0.962,1.381,0.0,0.0,0.0,0.5,0.999,0.0,,
Folk,0.964,1.301,0.0,0.0,0.0,0.5,1.0,0.0,,
Hip-Hop,0.689,11.207,0.0,0.0,0.0,0.5,1.0,0.0,,
Industrial & Noise,0.953,1.681,0.0,0.0,0.0,0.5,1.0,0.0,,
Jazz,0.985,0.54,0.0,0.0,0.0,0.5,1.0,0.0,,
Metal,0.064,33.722,0.121,0.064,1.0,0.5,0.0,0.0,,
Pop,0.151,30.6,0.262,0.151,1.0,0.5,0.0,0.0,,
Psychedelia,0.076,33.322,0.14,0.076,1.0,0.5,0.0,0.0,,
Punk,0.039,34.623,0.075,0.039,1.0,0.5,0.001,0.024,,
R&B,0.043,34.503,0.082,0.043,1.0,0.5,0.0,0.0,,
Rock,0.757,8.746,0.0,0.0,0.0,0.5,0.999,0.0,,
Singer-Songwriter,0.026,35.123,0.05,0.026,1.0,0.5,0.0,0.0,,
Aggregated,0.495,18.208,0.146,0.086,0.472,0.484,0.497,0.484,0.505,0.0
